title,genre
"Green Ray, The (Rayon vert, Le) (1986)",Drama Romance
O.J.: Made in America (2016),Documentary
Louis C.K.: Live at The Comedy Store (2015),Comedy
Wild Hearts Can't Be Broken (1991),Drama Romance
Sarkar Raj (2008),Action Adventure Drama
Dracula: Prince of Darkness (1966),Horror Mystery
Sidewalks of New York (2001),Comedy Romance
"After Dark, My Sweet (1990)",Crime Drama Mystery
Dumb and Dumber To (2014),Comedy
The Golden Calf (1968),Comedy Drama
End of Watch (2012),Crime Drama Thriller
"Misérables, Les (1998)",Crime Drama Romance War
The Silence of the Hams (1994),Comedy Thriller
"Cure, The (1995)",Drama
"Thin Blue Lie, The (2000)",Drama
Annapolis (2006),Drama
"Duchess, The (2008)",Drama Romance
Second Wind (Le deuxième souffle) (Second Breath) (1966),Crime Drama Film-Noir
Heaven's Prisoners (1996),Crime Thriller
12 Strong (2018),Drama War
Fort Apache (1948),Western
The Robbery of the Third Reich (2004),Comedy War
C.H.U.D. (1984),Horror
Angus (1995),Comedy
"Golden Coach, The (Le carrosse d'or) (1953)",Comedy Drama Romance
Dr. T and the Women (2000),Comedy Romance
"Satanic Rites of Dracula, The (1974)",Horror
"Nightmare on Elm Street 5: The Dream Child, A (1989)",Horror
Penelope (2006),Comedy Fantasy Romance
Bounce (2000),Drama Romance
Silent Running (1972),Drama Sci-Fi
Dr. Dolittle 2 (2001),Comedy
Date Night (2010),Action Comedy Romance
Survival of the Dead (2009),Horror
Meet John Doe (1941),Comedy Drama
"Smurfs, The (2011)",Animation Children Comedy
Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),Adventure Animation Comedy Fantasy Romance
"Sugarland Express, The (1974)",Drama
Tremors 5: Bloodline (2015),Action Horror Sci-Fi
Harvie Krumpet (2003),Animation Comedy Drama
Melinda and Melinda (2004),Comedy Drama
Sin Nombre (2009),Crime Drama Thriller
Creep (2004),Horror Thriller
Branded to Kill (Koroshi no rakuin) (1967),Action Crime Drama
Diggers (2006),Comedy Drama
American Outlaws (2001),Action Comedy Western
"Good Morning, Night (Buongiorno, notte) (2003)",Drama
Going in Style (2017),Comedy
42 (2013),Drama
American Hero (2015),Action Comedy Sci-Fi
Soul Man (1986),Comedy
Assignment: Paris (1952),Drama
Left Behind: The Movie (2000),Action Adventure Drama Thriller
"Great Beauty, The (Grande Bellezza, La) (2013)",Comedy Drama
"Kingdom of Dreams and Madness, The (2013)",Animation Documentary
Fright Night (2011),Comedy Horror
"Topo, El (1970)",Fantasy Western
Cooley High (1975),Comedy Drama
Divorce - Italian Style (Divorzio all'italiana) (1961),Comedy
D2: The Mighty Ducks (1994),Children Comedy
Down to You (2000),Comedy Romance
THX 1138 (1971),Action Adventure Drama Sci-Fi
"Jewel of the Nile, The (1985)",Action Adventure Comedy Romance
Let it Rain (Parlez-moi de la pluie) (2008),Comedy Drama
"Kumiko, the Treasure Hunter (2014)",Comedy Drama
Blue Chips (1994),Drama
Dangal (2016),Drama
Miss Peregrine's Home for Peculiar Children (2016),Fantasy
Our Man in Havana (1959),Comedy Drama Thriller
Eragon (2006),Action Adventure Fantasy
Bullet to the Head (2012),Action Crime Film-Noir
"Dead, The (1987)",Drama
Missing in Action (1984),Action War
Casualties of War (1989),Drama War
Submerged (2015),Drama Thriller
About Last Night (2014),Comedy Romance
Michael Jordan to the Max (2000),Documentary IMAX
"Big Kahuna, The (2000)",Comedy Drama
April Fool's Day (1986),Horror
"Gay Divorcee, The (1934)",Comedy Musical Romance
Turtle Diary (1985),Comedy Drama Romance
While You Were Fighting: A Thor Mockumentary (2016),Comedy Fantasy Sci-Fi
Single White Female (1992),Drama Thriller
Razorback (1984),Horror Thriller
Just My Luck (2006),Comedy Romance
"Osterman Weekend, The (1983)",Action Thriller
"Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987)",Animation Drama
Memphis Belle (1990),Action Drama War
"Jar, The (Khomreh) (1992)",Drama
In Order of Disappearance (Kraftidioten) (2014),Action Comedy Crime Thriller
Candy (2006),Drama Romance
The Best Movie 2 (2009),Comedy
American Buffalo (1996),Crime Drama
Mediterraneo (1991),Comedy Drama
Margin Call (2011),Drama Thriller
"Big Blue, The (Grand bleu, Le) (1988)",Adventure Drama Romance
Ben-hur (2016),(no genres listed)
Faces of Death 5 (1996),Documentary Horror
This Is 40 (2012),Drama
Gleaming the Cube (1989),Action Drama Mystery
Rollerball (1975),Action Drama Sci-Fi
Straight Outta Compton (2015),Drama
"Tree of Life, The (2011)",Drama
Dear Zachary: A Letter to a Son About His Father (2008),Documentary
Waxwork (1988),Comedy Horror
Absentia (2011),Horror
"Room, The (2003)",Comedy Drama Romance
"Doctor, The (1991)",Drama
Attack of the 50 Foot Woman (1958),Comedy Sci-Fi
"Time Traveler's Wife, The (2009)",Drama Romance Sci-Fi
Pride and Glory (2008),Crime Drama
Marie Antoinette (2006),Drama Romance
Modern Problems (1981),Comedy Fantasy
Fireproof (2008),Drama Romance
Child's Play 3 (1991),Comedy Horror Thriller
Holy Man (1998),Comedy
"Beastmaster, The (1982)",Action Adventure Fantasy
Undead (2003),Action Comedy Horror Sci-Fi
Sunless (Sans Soleil) (1983),Documentary
Us (2019),Horror Thriller
It's All Gone Pete Tong (2004),Comedy Drama Musical
Man of the Year (2006),Comedy Thriller
A Bad Moms Christmas (2017),Comedy
Michael Moore in TrumpLand (2016),Documentary
Wonder (2017),Drama
Nostalghia (1983),Drama
The Hitman's Bodyguard (2017),Action Comedy
The Punisher: Dirty Laundry (2012),Action Crime Drama
Indian Summer (a.k.a. Alive & Kicking) (1996),Comedy Drama
Gossip (2000),Drama Thriller
Better Than Chocolate (1999),Comedy Romance
The Happy Prince (2018),Comedy Drama
Oliver! (1968),Drama Musical
Repo! The Genetic Opera (2008),Fantasy Horror Musical
Tora! Tora! Tora! (1970),Action Drama War
"Naked Jungle, The (1954)",Adventure Drama
John Adams (2008),Drama
Annabelle (2014),Horror
Iron Eagle IV (1995),Action War
Tell No One (Ne le dis à personne) (2006),Crime Drama Mystery Thriller
"Purge: Anarchy, The (2014)",Action Horror Thriller
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),Adventure Animation Fantasy Musical Sci-Fi
"Devil's Rejects, The (2005)",Action Crime Horror
Nobody Knows (Dare mo shiranai) (2004),Drama
Jim Gaffigan: Beyond the Pale (2006),Comedy
The Childhood of a Leader (2016),Drama Horror Mystery
Shadrach (1998),Drama
Altered States (1980),Drama Sci-Fi
British Intelligence (1940),Drama
Cirque du Freak: The Vampire's Assistant (2009),Action Adventure Comedy Fantasy Horror Thriller
Mrs. Miniver (1942),Drama War
Admiral (2008),Drama War
A Single Life (2014),Animation
"War Zone, The (1999)",Drama Thriller
Me Before You (2016),Drama Romance
Thriller: A Cruel Picture (Thriller - en grym film) (1974),Action Crime Drama Thriller
24: Redemption (2008),Action Adventure Crime Drama Thriller
Flight of the Intruder (1991),Action War
Strella (2009),Drama
"Human Condition I, The (Ningen no joken I) (1959)",Drama War
Year of the Horse (1997),Documentary
"Sitter, The (2011)",Comedy
Buffalo Soldiers (2001),Comedy Crime Drama War
Mindhunters (2004),Action Crime Horror Mystery Thriller
Making Love (1982),Drama
"Greatest Game Ever Played, The (2005)",Drama
Lovesong (2017),Drama
Mongol (2007),Drama War
Brown Sugar (2002),Romance
Wildflowers (1999),Drama
"Story of the Late Chrysanthemums, The (Zangiku monogatari) (1939)",Drama
Selma (2014),Drama
The Days That Confused (2016),Comedy Drama
The Book of Life (2014),Adventure Animation Romance
"Accused, The (1988)",Drama
Series 7: The Contenders (2001),Action Drama
"Rum Diary, The (2011)",Comedy Drama Thriller
The Inner Scar (1972),Drama Fantasy
If I Stay (2014),Drama
"Tall Guy, The (1989)",Comedy Romance
Bride & Prejudice (2004),Comedy Musical Romance
Venus (2006),Drama Romance
St. Vincent (2014),Comedy
"Swimmer, The (1968)",Drama
"Russia House, The (1990)",Drama Thriller
Slow Learners (2015),Comedy Romance
Напарник (2017),(no genres listed)
Rust and Bone (De rouille et d'os) (2012),Drama Romance
Class Reunion (1982),Comedy
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",Documentary
"10th Victim, The (La decima vittima) (1965)",Action Comedy Sci-Fi Thriller
Fun and Fancy Free (1947),Animation Children Musical
Man of the House (2005),Action Comedy
Still Alice (2014),Drama
I Am Mother (2019),Sci-Fi Thriller
Red Sparrow (2018),Thriller
Rio (2011),Adventure Animation Children Comedy
I'll Be Home For Christmas (1998),Comedy Romance
American Dreamz (2006),Comedy Drama
The Girl with All the Gifts (2016),Drama Horror Sci-Fi Thriller
The Good Dinosaur (2015),Adventure Animation Children Comedy Fantasy
Lesson Faust (1994),Animation Comedy Drama Fantasy
Saraband (2003),Drama
Thorne: Sleepyhead (2010),Crime Drama Mystery Thriller
Shakes the Clown (1992),Comedy
"Golem, The (Golem, wie er in die Welt kam, Der) (1920)",Fantasy Horror
Shadows and Fog (1991),Comedy Drama Mystery Thriller
Skyscraper (2018),Action Drama Thriller
Everyone's Hero (2006),Adventure Animation Children Comedy
Imaginary Heroes (2004),Comedy Drama
10 Rillington Place (1971),Crime Drama Thriller
Mr. Sardonicus (1961),Horror
Red Road (2006),Drama
Othello (1995),Drama
Simply Irresistible (1999),Comedy Romance
Men with Guns (1997),Action Drama
My Fellow Americans (1996),Comedy
Hans Christian Andersen (1952),Children Musical
Croupier (1998),Crime Drama
"Bad Sleep Well, The (Warui yatsu hodo yoku nemuru) (1960)",Drama Thriller
Hellraiser: Deader (2005),Horror
Tales from Earthsea (Gedo Senki) (2006),Adventure Animation Fantasy
Green Room (2015),(no genres listed)
Arbitrage (2012),Drama Thriller
Chevalier (2015),(no genres listed)
I Served the King of England (Obsluhoval jsem anglického krále) (2006),Comedy Drama Romance War
TMNT (Teenage Mutant Ninja Turtles) (2007),Action Adventure Animation Children Comedy Fantasy
High School Musical 2 (2007),Comedy Drama Musical Romance
Surrogates (2009),Action Sci-Fi Thriller
Gone Fishin' (1997),Comedy
Tucker: The Man and His Dream (1988),Drama
The Comeback (1978),Horror Mystery Thriller
Gridlock'd (1997),Crime
Premium Rush (2012),Action Thriller
At Play in the Fields of the Lord (1991),Drama
R.I.P.D. (2013),Action Comedy Fantasy
Screamers (1979),Action Horror
"Greystoke: The Legend of Tarzan, Lord of the Apes (1984)",Adventure Drama Romance
Tammy (2014),Comedy
Mr. Edison at Work in His Chemical Laboratory (1897),Documentary
Material Girls (2006),Children Comedy Drama
Hitler's Hollywood (2017),Documentary
Chopper (2000),Drama Thriller
Whiteout (2009),Action Crime Drama Mystery Thriller
Attack the Gas Station! (Juyuso seubgyuksageun) (1999),Comedy Crime
Paul Goodman Changed My Life (2011),Documentary Drama
Fear City: A Family-Style Comedy (La cité de la peur) (1994),Comedy
Maurice (1987),Drama Romance
Hear My Song (1991),Comedy
Angel-A (2005),Comedy Drama Fantasy Romance
Fuzz (1972),Drama
Road House (1989),Action Drama
White God (Fehér isten) (2014),Drama
Youth (2015),Drama
Gloria (1999),Drama Thriller
Gettysburg (1993),Drama War
Gabbar Singh (2012),Action Comedy
Aces: Iron Eagle III (1992),Action
Kagemusha (1980),Drama War
Fortress (1992),Action Sci-Fi
"Monster Squad, The (1987)",Adventure Comedy Horror
Indiscreet (1958),Comedy Romance
Femme Fatale (2002),Crime Thriller
"Fists in the Pocket (Pugni in tasca, I) (1965)",Drama
"Promotion, The (2008)",Comedy
Like Mike (2002),Children Comedy Fantasy
Titanic (1953),Action Drama
Trust (1990),Comedy Drama Romance
Perfume: The Story of a Murderer (2006),Crime Drama Thriller
Hollywood Shuffle (1987),Comedy
The Jungle Book (2016),Adventure Drama Fantasy
"Man and a Woman, A (Un homme et une femme) (1966)",Drama Romance
Gone (2012),Drama Thriller
Cursed (2005),Horror Thriller
"Hunted, The (2003)",Action Drama Thriller
"Edge of Love, The (2008)",Drama Romance War
Jetsons: The Movie (1990),Animation Children Comedy Musical Sci-Fi
"Hidden, The (1987)",Action Horror Sci-Fi
"Lucky One, The (2012)",Drama
Rumor Has It... (2005),Comedy Drama Romance
Barefoot in the Park (1967),Comedy
Money Monster (2016),Drama Thriller
Never Say Never Again (1983),Action Adventure Thriller
Tooth Fairy (2010),Comedy Fantasy
Eight Below (2006),Action Adventure Drama Romance
Safety Last! (1923),Action Comedy Romance
Creep (2014),Horror Thriller
Next (2007),Action Sci-Fi Thriller
Cornered! (2009),Comedy Horror
"Wisdom of Crocodiles, The (a.k.a. Immortality) (2000)",Romance Thriller
Brainstorm (1983),Sci-Fi Thriller
Savior (1998),Drama War
Navy Seals (1990),Action Adventure War
Tampopo (1985),Comedy
Prime (2005),Comedy Drama Romance
Captive (2015),Crime Drama Thriller
Once Upon a Time... When We Were Colored (1995),Drama Romance
Funny Games (1997),Drama Horror Thriller
"Tale of Two Sisters, A (Janghwa, Hongryeon) (2003)",Drama Horror Mystery Thriller
Abandon (2002),Drama Thriller
Solomon Kane (2009),Action Adventure Fantasy Horror
Signs of Life (Lebenszeichen) (1968),Drama
Innocent Voices (Voces inocentes) (2004),Drama War
"Rocker, The (2008)",Comedy
Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991),Action Adventure Comedy
Bright Lights: Starring Carrie Fisher and Debbie Reynolds (2017),Documentary
Mount Head (Atama yama) (2002),Animation Comedy Drama Fantasy
Chapter 27 (2007),Crime Drama
Going to Pieces: The Rise and Fall of the Slasher Film (2006),Documentary
Knockin' on Heaven's Door (1997),Action Comedy Crime Drama
Filth (2013),Comedy Crime Drama
"Tortoise and the Hare, The (1935)",Animation Children Comedy
Spring on Zarechnaya Street (1956),Romance
"Love Letter, The (1999)",Comedy Romance
Tremors 3: Back to Perfection (2001),Comedy Horror Sci-Fi
The Immortal Voyage of Captain Drake (2009),Adventure Fantasy
Joe (2013),Drama
Love and Other Drugs (2010),Comedy Drama Romance
"Out of the Furnace (Dust to Dust) (Low Dweller, The) (2013)",Drama Thriller
The Tiger and the Pussycat (1967),Comedy Drama
Sisters (2015),Children Comedy
Down to Earth (2001),Comedy Fantasy Romance
Reign Over Me (2007),Drama
One Good Cop (1991),Action Crime Drama
Guess Who (2005),Comedy Romance
Love's Labour's Lost (2000),Comedy Romance
Lightning Jack (1994),Comedy Western
Ice Age 4: Continental Drift (2012),Adventure Animation Comedy
Must Love Dogs (2005),Comedy Romance
"Last Days, The (1998)",Documentary
Tarnation (2003),Documentary
Expelled (2014),Comedy
Oklahoma! (1955),Musical Romance Western
Eden Lake (2008),Horror Thriller
Madame Bovary (1991),Drama
"Good German, The (2006)",Drama Mystery Thriller
Tokyo Drifter (Tôkyô nagaremono) (1966),Action Crime Drama
Escaflowne: The Movie (Escaflowne) (2000),Action Adventure Animation Drama Fantasy
The Second Mother (2015),Drama
"24th Day, The (2004)",Drama Thriller
Full of It (2007),Comedy Drama
Center Stage (2000),Drama Musical
Demolition (2016),Drama
"Passenger, The (Professione: reporter) (1975)",Drama
Hall Pass (2011),Comedy
"Brain That Wouldn't Die, The (1962)",Horror Sci-Fi
Fear of a Black Hat (1994),Comedy
"Troll Hunter, The (Trolljegeren) (2010)",Fantasy Horror
Andhadhun (2018),Mystery Romance Thriller
"Original Kings of Comedy, The (2000)",Comedy Documentary
Chinese Zodiac (Armour of God III) (CZ12) (2012),Action Adventure IMAX
"Hitman, The (1991)",Action Crime Thriller
Hope Springs (2012),Comedy Drama
"Flight of the Phoenix, The (1965)",Action Adventure Drama
Gothic (1986),Drama Horror
Little Dieter Needs to Fly (1997),Documentary
Sex Lives of the Potato Men (2004),Comedy
To the Bone (2017),Drama
Meatballs (1979),Comedy
Set It Off (1996),Action Crime
Dancing at Lughnasa (1998),Drama
When a Stranger Calls (2006),Horror Thriller
Little Otik (Otesánek) (2000),Comedy Drama Fantasy
Uzumasa Limelight (2014),Action Drama
Creature Comforts (1989),Animation Comedy
Halloweentown II: Kalabar's Revenge (2001),Adventure Children Comedy Drama Fantasy
Detective Byomkesh Bakshy (2015),Crime Thriller
"Road to Wellville, The (1994)",Comedy
Dead Tired (Grosse Fatigue) (1994),Comedy
"Flying Leathernecks, The (1951)",Action Drama War
Beginners (2010),Drama
"Love, Rosie (2014)",Comedy Romance
Insidious: Chapter 2 (2013),Horror Thriller
The Disaster Artist (2017),Comedy Drama
Songcatcher (2000),Drama
Alice Through the Looking Glass (2016),Adventure Children Fantasy
30 Days of Night: Dark Days (2010),Horror Thriller
Sweet Dreams (1985),Drama
Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003),Drama
Dumb and Dumberer: When Harry Met Lloyd (2003),Comedy
"Follow Me, Boys! (1966)",Comedy Drama
Topaz (1969),Thriller
Valley of the Dolls (1967),Drama
Moonlight,Drama
Powaqqatsi (1988),Documentary
Welcome to the Rileys (2010),Drama
"House I Live In, The (2012)",Documentary
Love Me No More (Deux jours à tuer) (2008),Drama Romance
Serving Sara (2002),Comedy Romance
"Private Life of Sherlock Holmes, The (1970)",Comedy Drama Mystery
"American Crime, An (2007)",Crime
Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),Horror Thriller
"Change-Up, The (2011)",Comedy
Sugar & Spice (2001),Comedy
Burlesque (2010),Drama Musical Romance
Betty Blue (37°2 le matin) (1986),Drama Romance
7 Men from Now (Seven Men from Now) (1956),Western
"Freshman, The (1990)",Comedy Crime
"Bedroom Window, The (1987)",Thriller
"Woman Under the Influence, A (1974)",Drama
Brother 2 (Brat 2) (2000),Crime Drama
Zach Galifianakis: Live at the Purple Onion (2006),Comedy Documentary
Sabotage (2014),Action Crime Drama
Pink Floyd: Live at Pompeii (1972),Documentary
Girlfight (2000),Drama
Black Mask (Hak hap) (1996),Action Adventure Crime Sci-Fi Thriller
Problem Child (1990),Children Comedy
Waltz with Bashir (Vals im Bashir) (2008),Animation Documentary Drama War
Solan og Ludvig: Jul i Flåklypa (2013),Animation Children
Molière (2007),Comedy Drama Romance
61* (2001),Drama
After Midnight (1989),Horror Thriller
Azur & Asmar (Azur et Asmar) (2006),Adventure Animation Children
Doomsday (2008),Action Drama Sci-Fi Thriller
Deliver Us from Evil (2014),Crime Horror Thriller
Jury Duty (1995),Comedy
The Prodigy (2019),Horror
Ministry of Fear (1944),Drama Film-Noir Thriller
Love Is the Devil (1998),Drama
Andrei Rublev (Andrey Rublyov) (1969),Drama War
Jack and Jill (2011),Comedy
Moll Flanders (1996),Drama
Subject Two (2006),Drama Thriller
Hot Tub Time Machine 2 (2015),Comedy Sci-Fi
Beautiful Kate (2009),Drama Mystery
Animal Factory (2000),Crime Drama
Daddy Cool (2017),Comedy
"Beans of Egypt, Maine, The (1994)",Drama
"Alamo, The (1960)",Action Drama War Western
Love & Slaps (2010),Comedy
Wildlike (2015),Adventure Drama Thriller
Father of Invention (2010),Comedy Drama
This Boy's Life (1993),Drama
The Fanatic (2019),Thriller
"Road to Guantanamo, The (2006)",Drama War
Chaos (2001),Comedy Crime Drama
Beaches (1988),Comedy Drama Musical
Kronos (a.k.a. Captain Kronos: Vampire Hunter) (1973),Horror
Pull My Daisy (1958),Comedy Drama
"Hammer, The (2007)",Comedy
B. Monkey (1998),Crime Romance Thriller
Hidden Kisses (2017),Drama
Snowball Express (1972),Children Comedy
Anthropoid (2016),War
Bulworth (1998),Comedy Drama Romance
Draft Day (2014),Drama
"Internet's Own Boy: The Story of Aaron Swartz, The (2014)",Documentary
Excess Baggage (1997),Adventure Romance
Road Trip: Beer Pong (2009),Comedy
Smokey and the Bandit II (1980),Action Comedy
"Man in the Iron Mask, The (1939)",Adventure
"Bon Cop, Bad Cop (2006)",Action Comedy Crime Thriller
Surviving Christmas (2004),Comedy
"Bride Wore Black, The (La mariée était en noir) (1968)",Crime Drama
Megiddo: The Omega Code 2 (2001),Action Adventure Fantasy Sci-Fi Thriller
Where To Invade Next (2015),Documentary
StarStruck (2010),Comedy Musical
My Winnipeg (2007),Documentary Fantasy
Last Year's Snow Was Falling (1983),Animation Children Comedy Fantasy
"Horse Soldiers, The (1959)",Adventure War Western
Flags of Our Fathers (2006),Drama War
"Man of the Year, The (O Homem do Ano) (2003)",Action Comedy Crime
Exit Wounds (2001),Action Thriller
Herbie Goes to Monte Carlo (1977),Adventure Children Comedy
The Emperor's Club (2002),Drama
More (1998),Animation Drama Sci-Fi IMAX
Scary Movie 4 (2006),Comedy Horror
"Giver, The (2014)",Drama Sci-Fi
Joe Dirt (2001),Adventure Comedy Mystery Romance
"Othello (Tragedy of Othello: The Moor of Venice, The) (1952)",Drama
"'burbs, The (1989)",Comedy
Ten Canoes (2006),Adventure Comedy Drama War
Happy People: A Year in the Taiga (2010),Documentary
"Lookout, The (2007)",Crime Drama Thriller
Play Time (a.k.a. Playtime) (1967),Comedy
Get Real (1998),Drama Romance
Walking Out (2017),Adventure Drama
Black Mirror,(no genres listed)
He Was a Quiet Man (2007),Drama
"Chase, The (1994)",Action Adventure Comedy Crime Romance Thriller
20th Century Women (2016),Drama
Symmetry (Symetria) (2003),Crime Drama
Fantomas vs. Scotland Yard (Fantômas contre Scotland Yard) (1967),Adventure Comedy Crime Fantasy
Death on the Staircase (Soupçons) (2004),Crime Documentary
Stuart Little 2 (2002),Children Comedy
The Lunchbox (2013),Drama Romance
Lady Jane (1986),Drama Romance
Ralph Breaks the Internet (2018),Animation Children
Invaders from Mars (1953),Sci-Fi
The Great Wall (2016),Action Adventure Thriller
Eddie and the Cruisers (1983),Drama Musical Mystery
Radioland Murders (1994),Comedy Mystery Romance
Elle (2016),Thriller
Nevada Smith (1966),Western
Big Eden (2000),Drama Romance
Eureka (Yurîka) (2000),Drama
Clown (2014),Drama Horror
Out of the Past (1947),Film-Noir
"Color of Money, The (1986)",Drama
Rocky Balboa (2006),Action Drama
Kiler (1997),Comedy Crime
The Hallow (2015),Horror
Liberal Arts (2012),Comedy Drama
"November Man, The (2014)",Action Crime Thriller
"Fist of Fury (Chinese Connection, The) (Jing wu men) (1972)",Action Drama Romance Thriller
"Crimson Rivers, The (Rivières pourpres, Les) (2000)",Crime Drama Mystery Thriller
Kung Pow: Enter the Fist (2002),Action Comedy
Switchback (1997),Crime Mystery Thriller
"Three Caballeros, The (1945)",Animation Children Musical
Critters (1986),Comedy Sci-Fi
Above and Beyond (1952),Action Drama
Beauty Shop (2005),Comedy
Control (2007),Drama
"Librarian: Quest for the Spear, The (2004)",Action Adventure Comedy Fantasy Romance
Rain (1932),Drama
"Unsinkable Molly Brown, The (1964)",Musical
"Sorcerer's Apprentice, The (2010)",Action Adventure Children Comedy Fantasy
I Am David (2003),Drama
"Lover, The (Amant, L') (1992)",Drama Romance
Rudraksh (2004),(no genres listed)
The Bronze (2015),Comedy Drama
Best of Enemies (2015),Documentary
Ginger Snaps (2000),Drama Horror Thriller
Tea with Mussolini (1999),Comedy Drama War
Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),Adventure Animation Children Comedy Fantasy IMAX
Pregnant (2011),Comedy
Bronco Billy (1980),Adventure Drama Romance
Pollyanna (1960),Children Comedy Drama
Whisper of the Heart (Mimi wo sumaseba) (1995),Animation Drama Romance
I Love You to Death (1990),Comedy Crime
Radio (2003),Drama
The Autopsy of Jane Doe (2016),Horror
"Winged Migration (Peuple migrateur, Le) (2001)",Documentary
Dance with Me (1998),Drama Romance
Never Cry Wolf (1983),Adventure Drama
"1, 2, 3, Sun (Un, deuz, trois, soleil) (1993)",Drama
Wild Target (2010),Comedy Drama Romance Thriller
Godzilla vs. Mechagodzilla II (Gojira VS Mekagojira) (1993),Action Drama Sci-Fi
"Million, Le (Million, The) (1931)",Comedy Musical
"Star Is Born, A (1937)",Drama
Astro Boy (2009),Action Animation Children Sci-Fi
National Lampoon's Van Wilder: The Rise of Taj (2006),Comedy
3:10 to Yuma (1957),Action Adventure Drama Thriller Western
Cleopatra (1963),Drama Romance
Mr. Toad's Wild Ride (a.k.a. The Wind in the Willows) (1996),Adventure Animation Comedy
Manos: The Hands of Fate (1966),Horror
Afterglow (1997),Drama Romance
Ask the Dust (2006),Drama Romance
"Haunted Palace, The (1963)",Horror
"Heartbreak Kid, The (2007)",Comedy Drama Romance
Millionaires Express (1986),Action Comedy
"Temp, The (1993)",Drama Thriller
"First Time, The (2012)",Comedy Drama Romance
Big Momma's House (2000),Comedy
Showtime (2002),Action Comedy
Confidential Report (1955),Crime Drama Mystery Thriller
"Secret of the Grain, The (La graine et le mulet) (2007)",Drama
Random Hearts (1999),Drama Romance
Extremities (1986),Drama Thriller
Wisdom (1986),Crime Drama
Born Innocent (1974),Drama
Hunger (1974),Animation
Blackhat (2015),Action Crime Drama Mystery Thriller
I Wanna Hold Your Hand (1978),Comedy
"Hollywood Knights, The (1980)",Comedy
"Broken Hearts Club, The (2000)",Drama
Ocean's Eleven (a.k.a. Ocean's 11) (1960),Comedy Crime
Red Sorghum (Hong gao liang) (1987),Drama War
Bring Me the Head of Alfredo Garcia (1974),Crime Drama Thriller
Epic Movie (2007),Adventure Comedy
Shock (1946),Film-Noir Thriller
A Gesture Fight in Hester Street (1900),(no genres listed)
On Tour (Tournée) (2010),Comedy Drama
Too Hot to Handle (1938),Adventure Comedy Romance
Boy Wonder (2010),Action Crime Drama
Woo (1998),Comedy Romance
Twelve O'Clock High (1949),Drama War
Mother (1996),Comedy
"Perfect Host, The (2010)",Crime Drama Thriller
Love Me If You Dare (Jeux d'enfants) (2003),Drama Romance
"Act of Killing, The (2012)",Documentary
Communion (1989),Drama Sci-Fi Thriller
Lorenzo's Oil (1992),Drama
Out Cold (2001),Comedy
Trick (1999),Comedy Romance
Upstream Color (2013),Romance Sci-Fi Thriller
88 Minutes (2008),Crime Drama Mystery Thriller
Dawning of the Dead (2017),Horror
Benji (1974),Adventure Children
"Opportunists, The (2000)",Comedy Crime Drama
Guys and Dolls (1955),Comedy Musical Romance
Last Knights (2015),Action Adventure
Fun with Dick and Jane (2005),Comedy Crime
Harakiri (Seppuku) (1962),Drama
Whiskey Tango Foxtrot (2016),Comedy War
Nightwatch (1997),Horror Thriller
Ernest Scared Stupid (1991),Comedy
Better Living Through Chemistry (2014),Comedy Drama
Shivers (They Came from Within) (1975),Drama Horror Sci-Fi
30 Days of Night (2007),Horror Thriller
"Kevin Nealon: Whelmed, But Not Overly (2012)",Comedy
"City of Women, The (Città delle donne, La) (1980)",Comedy Drama
Coriolanus (2011),Drama Thriller
Peter Pan (1960),Children Fantasy Musical
Captivity (2007),Crime Thriller
Mobsters (1991),Crime Drama
Mortal Engines (2018),Sci-Fi
"Watcher in the Woods, The (1980)",Children Horror Mystery Thriller
4th Man Out (2016),Comedy
Red State (2011),Action Crime Horror Thriller
Seeking Justice (2011),Action Drama Thriller
Red Sonja (1985),Action Adventure Fantasy
Willow Creek (2013),Horror Mystery
"Dilemma, The (2011)",Comedy Drama
He Loves Me... He Loves Me Not (À la folie... pas du tout) (2002),Romance Thriller
School of the Holy Beast (1974),Drama Thriller
"Ambassador, The (Ambassadøren) (2011)",Documentary
Dark Phoenix (2019),Action Sci-Fi
"Creature from the Black Lagoon, The (1954)",Adventure Horror Sci-Fi
Twelfth Night (1996),Comedy Drama Romance
Tusk (2014),Comedy Drama Horror
The Disappearance of Eleanor Rigby: Her (2013),Drama
The Night Of (2016),Crime Drama
Unsane (2018),Drama Horror
Sessomatto (1973),Comedy
Klown: The Movie (Klovn) (2010),Comedy
Wonderful Days (a.k.a. Sky Blue) (2003),Animation Sci-Fi
Five Deadly Venoms (1978),Action
"Cat Came Back, The (1988)",Action Animation Comedy
Blame It on Rio (1984),Comedy Romance
Ghost Story (1981),Drama Horror
Onegin (1999),Drama Romance
She Makes Comics (2014),Documentary
"Clearing, The (2004)",Drama Thriller
Help! (1965),Comedy Musical
Outside Providence (1999),Comedy
